gender,country,fbref,fbref_name,fotmob,fotmob_name,transfermarkt,transfermarkt_name,transfermarkt_link,fcpython,fivethirtyeight,football_data,american_soccer_analysis
M,England,1df6b87e,Sheffield United,8657.0,Sheffield United,350.0,Sheffield United,sheffield-united,Sheffield United,Sheffield United,Sheffield United,
M,England,bba7d733,Sheffield Wednesday,10163.0,Sheffield Wednesday,1035.0,Sheffield Wednesday,sheffield-wednesday,,Sheffield Wednesday,Sheffield Weds,
M,England,17892952,Stoke City,10194.0,Stoke City,512.0,Stoke City,stoke-city,Stoke City,Stoke City,Stoke,
M,England,8ef52968,Sunderland,8472.0,Sunderland,289.0,Sunderland AFC,afc-sunderland,Sunderland AFC,Sunderland,Sunderland,
M,England,fb10988f,Swansea City,10003.0,Swansea City,2288.0,Swansea City,swansea-city,Swansea City,Swansea City,Swansea,
M,England,2abfe087,Watford,9817.0,Watford,1010.0,Watford FC,watford-fc,Watford FC,Watford,Watford,
M,England,60c6b05f,West Bromwich Albion,8659.0,West Bromwich Albion,984.0,West Bromwich Albion,west-bromwich-albion,West Bromwich Albion,West Bromwich Albion,West Brom,
M,England,e59ddc76,Wigan Athletic,8528.0,Wigan Athletic,1071.0,Wigan Athletic,wigan-athletic,,Wigan,Wigan,
M,England,43c2583e,Wycombe Wanderers,8676.0,Wycombe Wanderers,2805.0,Wycombe Wanderers,wycombe-wanderers,Wycombe Wanderers,Wycombe Wanderers,Wycombe,
M,England,4ba7cbea,Bournemouth,8678.0,AFC Bournemouth,989.0,AFC Bournemouth,afc-bournemouth,AFC Bournemouth,AFC Bournemouth,Bournemouth,
M,England,18bb7c10,Arsenal,9825.0,Arsenal,11.0,Arsenal FC,arsenal-fc,Arsenal FC,Arsenal,Arsenal,
M,England,8602292d,Aston Villa,10252.0,Aston Villa,405.0,Aston Villa,aston-villa,Aston Villa,Aston Villa,Aston Villa,
M,England,cd051869,Brentford,9937.0,Brentford,1148.0,Brentford FC,fc-brentford,Brentford FC,Brentford,Brentford,
M,England,d07537b9,Brighton & Hove Albion,10204.0,Brighton & Hove Albion,1237.0,Brighton & Hove Albion,brighton-amp-hove-albion,Brighton & Hove Albion,Brighton and Hove Albion,Brighton,
M,England,cff3d9bb,Chelsea,8455.0,Chelsea,631.0,Chelsea FC,chelsea-fc,Chelsea FC,Chelsea,Chelsea,
M,England,47c64c55,Crystal Palace,9826.0,Crystal Palace,873.0,Crystal Palace,crystal-palace,Crystal Palace,Crystal Palace,Crystal Palace,
M,England,d3fd31cc,Everton,8668.0,Everton,29.0,Everton FC,everton-fc,Everton FC,Everton,Everton,
M,England,fd962109,Fulham,9879.0,Fulham,931.0,Fulham FC,fulham-fc,Fulham FC,Fulham,Fulham,
M,England,5bfb9659,Leeds United,8463.0,Leeds United,399.0,Leeds United,leeds-united,Leeds United,Leeds United,Leeds,
M,England,a2d435b3,Leicester City,8197.0,Leicester City,1003.0,Leicester City,leicester-city,Leicester City,Leicester City,Leicester,
