competition_type,competition_name,ccode,country,gender,id,league_url
Domestic Cups,Cup,ISR,Israel,M,9097,/leagues/9097/overview/cup
Domestic Leagues - 2nd Tier,Leumit League Qualification,ISR,Israel,M,9735,/leagues/9735/overview/leumit-league-qualification
Domestic Cups,Super Cup,ISR,Israel,M,9862,/leagues/9862/overview/super-cup
Domestic Cups,Toto cup,ISR,Israel,M,9098,/leagues/9098/overview/toto-cup
Domestic Leagues - 1st Tier,Serie A,ITA,Italy,M,55,/leagues/55/overview/serie-a
Domestic Leagues - 2nd Tier,Serie B,ITA,Italy,M,86,/leagues/86/overview/serie-b
Domestic Cups,Coppa Italia,ITA,Italy,M,141,/leagues/141/overview/coppa-italia
Domestic Leagues - 3rd Tier and Lower,Serie C,ITA,Italy,M,147,/leagues/147/overview/serie-c
Domestic Cups,Supercoppa,ITA,Italy,M,222,/leagues/222/overview/supercoppa
Domestic Leagues - 1st Tier,Serie A Women,ITA,Italy,W,10178,/leagues/10178/overview/serie-a-women
Domestic Leagues - 1st Tier,J. League,JPN,Japan,M,223,/leagues/223/overview/j.-league
Domestic Leagues - 2nd Tier,J. League 2,JPN,Japan,M,8974,/leagues/8974/overview/j.-league-2
Domestic Leagues - 3rd Tier and Lower,J. League 3,JPN,Japan,M,9136,/leagues/9136/overview/j.-league-3
Domestic Cups,Cup,JPN,Japan,M,9011,/leagues/9011/overview/cup
Domestic Cups,League Cup,JPN,Japan,M,224,/leagues/224/overview/league-cup
Domestic Cups,Super Cup,JPN,Japan,M,440,/leagues/440/overview/super-cup
Domestic Leagues - 1st Tier,Premier League,JOR,Jordan,M,528,/leagues/528/overview/premier-league
Domestic Leagues - 1st Tier,Premier League,KAZ,Kazakhstan,M,225,/leagues/225/overview/premier-league
Domestic Cups,Super Cup,KAZ,Kazakhstan,M,9504,/leagues/9504/overview/super-cup
Domestic Leagues - 1st Tier,Virsliga,LVA,Latvia,M,226,/leagues/226/overview/virsliga
Domestic Leagues - 1st Tier,A Lyga,LTU,Lithuania,M,228,/leagues/228/overview/a-lyga
Domestic Cups,Super Cup,LTU,Lithuania,M,9493,/leagues/9493/overview/super-cup
Domestic Leagues - 1st Tier,National Division,LUX,Luxembourg,M,229,/leagues/229/overview/national-division
Domestic Cups,Cup,LUX,Luxembourg,M,9527,/leagues/9527/overview/cup
Domestic Leagues - 1st Tier,Super Liga,MAS,Malaysia,M,8985,/leagues/8985/overview/super-liga
Domestic Leagues - 1st Tier,Liga MX,MEX,Mexico,M,230,/leagues/230/overview/liga-mx
Domestic Leagues - 2nd Tier,Liga de Expansión MX,MEX,Mexico,M,8976,/leagues/8976/overview/liga-de-expansin-mx
Domestic Cups,Copa MX,MEX,Mexico,M,9345,/leagues/9345/overview/copa-mx
Domestic Leagues - 1st Tier,Liga MX Femenil,MEX,Mexico,W,9906,/leagues/9906/overview/liga-mx-femenil
Domestic Leagues - 1st Tier,National Division,MDA,Moldova,M,231,/leagues/231/overview/national-division
Domestic Cups,Cup,MDA,Moldova,M,9530,/leagues/9530/overview/cup
Domestic Cups,Super Cup,MDA,Moldova,M,9985,/leagues/9985/overview/super-cup
Domestic Leagues - 1st Tier,1. CFL,MNE,Montenegro,M,232,/leagues/232/overview/1.-cfl
Domestic Leagues - 1st Tier,1. CFL Qualification,MNE,Montenegro,M,9178,/leagues/9178/overview/1.-cfl-qualification
Domestic Leagues - 1st Tier,Botola Pro,MAR,Morocco,M,530,/leagues/530/overview/botola-pro
Domestic Leagues - 3rd Tier and Lower,National League,MYA,Myanmar,M,10088,/leagues/10088/overview/national-league
Domestic Leagues - 1st Tier,Eredivisie,NED,Netherlands,M,57,/leagues/57/overview/eredivisie
Domestic Leagues - 2nd Tier,Eerste Divisie,NED,Netherlands,M,111,/leagues/111/overview/eerste-divisie
Domestic Leagues - 3rd Tier and Lower,Tweede Divisie,NED,Netherlands,M,9195,/leagues/9195/overview/tweede-divisie
Domestic Leagues - 1st Tier,Eredivisie Qualification,NED,Netherlands,M,58,/leagues/58/overview/eredivisie-qualification
Domestic Leagues - 1st Tier,Eredivisie Vrouwen,NED,Netherlands,M,10289,/leagues/10289/overview/eredivisie-vrouwen
Domestic Cups,KNVB Cup,NED,Netherlands,M,235,/leagues/235/overview/knvb-cup
Domestic Cups,Super Cup,NED,Netherlands,M,237,/leagues/237/overview/super-cup
Domestic Leagues - 1st Tier,Liga Primera,NCA,Nicaragua,M,9015,/leagues/9015/overview/liga-primera
Domestic Leagues - 1st Tier,Liga Primera Qualification,NCA,Nicaragua,M,10156,/leagues/10156/overview/liga-primera-qualification
Domestic Leagues - 1st Tier,Professional Football League,NGA,Nigeria,M,533,/leagues/533/overview/professional-football-league
Domestic Leagues - 1st Tier,Prva Liga,MKD,North Macedonia,M,249,/leagues/249/overview/prva-liga
Domestic Cups,Cup,MKD,North Macedonia,M,9528,/leagues/9528/overview/cup
Domestic Leagues - 1st Tier,Premiership,NIR,Northern Ireland,M,129,/leagues/129/overview/premiership
Domestic Leagues - 1st Tier,Eliteserien,NOR,Norway,M,59,/leagues/59/overview/eliteserien
Domestic Leagues - 2nd Tier,OBOS-ligaen,NOR,Norway,M,203,/leagues/203/overview/obos-ligaen
Domestic Leagues - 3rd Tier and Lower,2. Divisjon,NOR,Norway,M,204,/leagues/204/overview/2.-divisjon
